DATE,GENERAL_DAM_OCCUPANCY_RATE,GENERAL_DAM_RESERVED_WATER
2006-01-26,0.8802801244997778,0.8809218950064021
2006-01-27,0.8826144953312584,0.8834827144686299
2006-01-28,0.8858381502890175,0.8860435339308579
2006-01-29,0.8870609159626501,0.8873239436619719
2006-01-30,0.8876167185415741,0.8886043533930857
2006-01-31,0.8889506447309916,0.8898847631241997
2006-02-01,0.8926189417518898,0.8924455825864277
2006-02-02,0.898955091151623,0.8988476312419974
2006-02-03,0.9061805246776345,0.9065300896286811
2006-02-04,0.9125166740773679,0.9129321382842509
2006-02-05,0.9184081814139619,0.9193341869398207
2006-02-06,0.9324144064028458,0.9334186939820742
2006-02-07,0.9391951978657181,0.939820742637644
2006-02-08,0.9396398399288574,0.939820742637644
2006-02-09,0.9454201867496667,0.9462227912932138
2006-02-10,0.9468652734548689,0.9475032010243277
2006-02-11,0.97054246331703,0.970550576184379
2006-02-12,0.9682080924855493,0.9692701664532651
2006-02-13,0.9687638950644731,0.9692701664532651
2006-02-14,0.9707647843485995,0.9718309859154929
2006-02-15,0.9712094264117385,0.9718309859154929
2006-02-16,0.9718763895064474,0.9718309859154929
2006-02-17,0.972654513116941,0.973111395646607
2006-02-18,0.9806580702534461,0.9807938540332907
2006-02-19,0.9873277012005336,0.9871959026888605
2006-02-20,0.9822143174744332,0.9820742637644045
2006-02-21,0.9819919964428637,0.9820742637644045
2006-02-22,0.9859937750111162,0.9859154929577464
2006-02-23,0.9901067140951535,0.9910371318822023
2006-02-24,0.994108492663406,0.9948783610755442
2006-02-25,0.9979991107158738,0.998719590268886
2006-02-26,0.9932192085371278,0.9935979513444303
2006-02-27,0.9965540240106715,0.9974391805377721
2006-02-28,0.9935526900844821,0.9935979513444303
2006-03-01,0.9892174299688751,0.9897567221510885
2006-03-02,0.9912183192530014,0.9923175416133162
2006-03-03,0.9927745664739885,0.9935979513444303
2006-03-04,0.9926634059582037,0.9935979513444303
2006-03-05,0.9904401956425078,0.9910371318822023
2006-03-06,0.9906625166740773,0.9910371318822023
2006-03-07,0.9915518008003558,0.9923175416133162
2006-03-08,0.9939973321476213,0.9948783610755442
2006-03-09,0.9915518008003558,0.9923175416133162
2006-03-10,0.9931080480213429,0.9935979513444303
2006-03-11,0.9925522454424188,0.9935979513444303
2006-03-12,0.994108492663406,0.9948783610755442
2006-03-13,0.9944419742107603,0.9948783610755442
2006-03-14,0.9923299244108493,0.9923175416133162
2006-03-15,0.9944419742107603,0.9948783610755442
2006-03-16,0.994108492663406,0.9948783610755442
2006-03-17,0.9912183192530014,0.9923175416133162
2006-03-18,0.9926634059582037,0.9935979513444303
2006-03-19,0.9912183192530014,0.9923175416133162
2006-03-20,0.9918852823477103,0.9923175416133162
2006-03-21,0.9926634059582037,0.9935979513444303
2006-03-22,0.9933303690529126,0.9935979513444303
2006-03-23,0.9937750111160516,0.9935979513444303
2006-03-24,0.994108492663406,0.9948783610755442
2006-03-25,0.9951089373054692,0.996158770806658
2006-03-26,0.9933303690529126,0.9935979513444303
2006-03-27,0.9918852823477103,0.9923175416133162
2006-03-28,0.9914406402845711,0.9923175416133162
2006-03-29,0.9913294797687863,0.9923175416133162
2006-03-30,0.9913294797687863,0.9923175416133162
2006-03-31,0.9928857269897732,0.9935979513444303
2006-04-01,0.9937750111160516,0.9935979513444303
2006-04-02,0.9938861716318365,0.9948783610755442
2006-04-03,0.99466429524233,0.9948783610755442
2006-04-04,0.9935526900844821,0.9935979513444303
2006-04-05,0.9933303690529126,0.9935979513444303
2006-04-06,0.9928857269897732,0.9935979513444303
2006-04-07,0.9923299244108493,0.9923175416133162
2006-04-08,0.9921076033792798,0.9923175416133162
2006-04-09,0.9918852823477103,0.9923175416133162
2006-04-10,0.9911071587372166,0.9910371318822023
2006-04-11,0.9904401956425078,0.9910371318822023
2006-04-12,0.9901067140951535,0.9910371318822023
2006-04-13,0.9861049355269008,0.9871959026888605
2006-04-14,0.9852156514006226,0.9859154929577464
2006-04-15,0.9847710093374834,0.9846350832266325
2006-04-16,0.983881725211205,0.9846350832266325
2006-04-17,0.9833259226322811,0.9833546734955186
2006-04-18,0.9829924410849268,0.9833546734955186
2006-04-19,0.9825477990217876,0.9833546734955186
2006-04-20,0.9813250333481548,0.9820742637644045
2006-04-21,0.979101823032459,0.9795134443021768
2006-04-22,0.9781013783903959,0.9782330345710627
2006-04-23,0.9767674522009783,0.9769526248399488
2006-04-24,0.9748777234326368,0.9756722151088347
2006-04-25,0.9728768341485104,0.973111395646607
2006-04-26,0.9716540684748779,0.9718309859154929
2006-04-27,0.9693196976433972,0.9692701664532651
2006-04-28,0.9675411293908404,0.967989756722151
2006-04-29,0.9656514006224989,0.9667093469910372
2006-04-30,0.9642063139172966,0.9641485275288092
2006-05-01,0.9630947087594487,0.9641485275288092
2006-05-02,0.9613161405068921,0.9615877080665812
2006-05-03,0.9600933748332593,0.9603072983354674
2006-05-04,0.9578701645175635,0.9577464788732394
2006-05-05,0.9554246331702981,0.9564660691421255
2006-05-06,0.9540907069808805,0.9539052496798975
2006-05-07,0.9520898176967542,0.9526248399487837
2006-05-08,0.9499777678968432,0.9500640204865557
2006-05-09,0.9483103601600712,0.9487836107554418
2006-05-10,0.9473099155180081,0.9475032010243277
2006-05-11,0.9447532236549577,0.9449423815621
2006-05-12,0.94364161849711,0.9436619718309859
2006-05-13,0.9421965317919075,0.942381562099872
2006-05-14,0.9407514450867053,0.9411011523687579
2006-05-15,0.9384170742552246,0.9385403329065302
2006-05-16,0.9369719875500223,0.9372599231754161
2006-05-17,0.9340818141396178,0.9346991037131883
2006-05-18,0.930746998666074,0.9308578745198463
2006-05-19,0.9289684304135172,0.9295774647887324
2006-05-20,0.9268563806136062,0.9270166453265044
2006-05-21,0.9244108492663407,0.9244558258642767
2006-05-22,0.9221876389506448,0.9231754161331626
2006-05-23,0.9198532681191641,0.9206145966709348
2006-05-24,0.9168519341929747,0.9167733674775927
2006-05-25,0.9139617607825702,0.914212548015365
2006-05-26,0.9100711427301024,0.9103713188220232
2006-05-27,0.9086260560249001,0.9090909090909091
2006-05-28,0.9061805246776345,0.9065300896286811
2006-05-29,0.9032903512672298,0.9039692701664533
2006-05-30,0.9001778568252558,0.9001280409731115
2006-05-31,0.8981769675411294,0.8988476312419974
2006-06-01,0.893619386393953,0.8937259923175416
2006-06-02,0.8906180524677635,0.8911651728553137
2006-06-03,0.8875055580257893,0.8886043533930857
2006-06-04,0.8838372610048911,0.8847631241997439
2006-06-05,0.8802801244997778,0.8809218950064021
2006-06-06,0.8765006669630948,0.8770806658130602
2006-06-07,0.873165851489551,0.8732394366197184
2006-06-08,0.8696087149844377,0.8693982074263764
2006-06-09,0.8668297020898178,0.8668373879641486
2006-06-10,0.8742774566473989,0.8745198463508322
2006-06-11,0.8744997776789686,0.8745198463508322
2006-06-12,0.8722765673632726,0.8732394366197184
2006-06-13,0.8696087149844377,0.8693982074263764
2006-06-14,0.8681636282792352,0.8681177976952625
2006-06-15,0.8666073810582482,0.8668373879641486
2006-06-16,0.8644953312583371,0.8642765685019206
2006-06-17,0.8631614050689196,0.8629961587708067
2006-06-18,0.8604935526900845,0.8604353393085787
2006-06-19,0.8586038239217431,0.8591549295774648
2006-06-20,0.8554913294797688,0.8553137003841229
2006-06-21,0.8524899955535794,0.852752880921895
2006-06-22,0.8489328590484659,0.8489116517285531
2006-06-23,0.847376611827479,0.8476312419974392
2006-06-24,0.8447087594486439,0.8450704225352113
2006-06-25,0.841485104490885,0.8425096030729834
2006-06-26,0.8385949310804803,0.8386683738796415
2006-06-27,0.8352601156069366,0.8361075544174136
2006-06-28,0.8320364606491775,0.8322663252240717
2006-06-29,0.8293686082703424,0.8297055057618438
2006-06-30,0.8267007558915074,0.8271446862996159
2006-07-01,0.8234771009337484,0.8233034571062741
2006-07-02,0.8200311249444198,0.8207426376440461
2006-07-03,0.8190306803023566,0.8194622279129321
2006-07-04,0.8185860382392175,0.8194622279129321
2006-07-05,0.8168074699866609,0.8169014084507042
2006-07-06,0.8133614939973323,0.8143405889884763
2006-07-07,0.8094708759448644,0.8104993597951344
2006-07-08,0.806469542018675,0.8066581306017926
2006-07-09,0.8034682080924856,0.8040973111395646
2006-07-10,0.8002445531347266,0.8002560819462228
2006-07-11,0.7963539350822589,0.7964148527528809
2006-07-12,0.7930191196087151,0.7938540332906531
2006-07-13,0.7901289461983104,0.7900128040973111
2006-07-14,0.7874610938194755,0.7874519846350833
2006-07-15,0.784459759893286,0.7848911651728553
2006-07-16,0.781236104935527,0.7810499359795134
2006-07-17,0.7782347710093375,0.7784891165172856
2006-07-18,0.7748999555357937,0.7759282970550576
2006-07-19,0.7721209426411739,0.7720870678617158
2006-07-20,0.7688972876834149,0.7695262483994878
2006-07-21,0.7654513116940863,0.765685019206146
2006-07-22,0.7617830146731882,0.7618437900128041
2006-07-23,0.759115162294353,0.7592829705505761
2006-07-24,0.7557803468208093,0.7567221510883483
2006-07-25,0.7518897287683416,0.7516005121638925
2006-07-26,0.7488883948421521,0.7490396927016646
2006-07-27,0.7454424188528236,0.7451984635083226
2006-07-28,0.741440640284571,0.7413572343149808
2006-07-29,0.7371053801689641,0.737516005121639
2006-07-30,0.7344375277901289,0.734955185659411
2006-07-31,0.7307692307692308,0.7311139564660691
2006-08-01,0.7273232547799022,0.7272727272727273
2006-08-02,0.7244330813694977,0.7247119078104993
2006-08-03,0.7209871053801691,0.7208706786171575
2006-08-04,0.7182080924855492,0.7183098591549296
2006-08-05,0.7145397954646511,0.7144686299615878
2006-08-06,0.7116496220542464,0.7119078104993598
2006-08-07,0.7080924855491331,0.708066581306018
2006-08-08,0.7044241885282347,0.7042253521126761
2006-08-09,0.7017563361493998,0.7016645326504481
